,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
83,2018-08-04 13:00:00,279202923.137206,-103432224.07101963,-28240641.241284966,7917.790011775046,933144321.4424556
84,2018-08-04 13:15:00,263504553.12156168,-93988692.8275561,-33095645.612003922,10069.191499453073,917030305.9264381
85,2018-08-04 13:30:00,254324190.24440923,-123314737.95925255,-18012619.632916022,-8726.80204383484,907844054.0625316
86,2018-08-04 13:45:00,252330419.71304172,-100843047.0874134,-29569328.513816122,3742.007511833079,905097636.7844207
87,2018-08-04 14:00:00,253595296.55578226,-106036490.68408404,-26898538.01341915,2346.6359155623795,907289220.2068127
88,2018-08-04 14:15:00,242717224.4292027,-101058168.18239482,-29457657.63031804,3795.6017131189883,895903157.4534492
89,2018-08-04 14:30:00,277090414.5772779,-108055567.18276235,-25862683.18172452,4514.805048852564,930475102.8995867
90,2018-08-04 14:45:00,273356963.2571717,-106359504.08154793,-26734544.263893623,9504.726352032445,926927818.3168449
91,2018-08-04 15:00:00,270602464.3485497,-103841013.96193215,-28029478.073337566,7562.085570297982,924003704.93461
92,2018-08-04 15:15:00,291472073.57875705,-98914361.91156015,-30565448.726579286,6175.639250700775,945275771.6984012
93,2018-08-04 15:30:00,276244352.10876626,-98932191.16467178,-30554637.5792394,5420.588630992406,929795407.7069854
94,2018-08-04 15:45:00,244809338.1844457,-106508051.44178946,-26715501.196782384,7089.375558611244,897184753.3943951
95,2018-08-04 16:00:00,195421232.47129193,-111596329.5538854,-24093333.959539667,5620.926327115662,846940437.0720942
96,2018-08-04 16:15:00,170782635.90465894,-99559175.10276394,-30281243.678239416,9997.572807137882,822365010.9370401
97,2018-08-04 16:30:00,133695637.53533739,-92337133.16343169,-33991455.902893156,11336.371173351234,784247855.4449319
98,2018-08-04 16:45:00,116762817.26173529,-99205840.87593299,-30457134.03022892,10365.308460546754,766027857.8448514
99,2018-08-04 17:00:00,87026060.67600513,-103963429.4552545,-28007155.57787576,9056.841071930894,735258322.4469825
100,2018-08-04 17:15:00,32521546.680982232,-91915189.49847777,-34197545.57735333,14304.746088643828,680021933.3177375
101,2018-08-04 17:30:00,-16063345.160389911,-99325596.50793992,-30381221.91998299,10878.795290163549,631001452.3304819
102,2018-08-04 17:45:00,-51663799.69020652,-92165248.02478006,-34059865.04232964,15646.314911601496,596381806.2180856
103,2018-08-04 18:00:00,-49546203.20261058,-97145281.33459774,-31498921.599866074,12134.42733919965,597808261.9854394
104,2018-08-04 18:15:00,-30844446.477473352,-92163666.163786,-34062923.66050448,15347.791198283681,616813010.2327317
105,2018-08-04 18:30:00,-13966227.186803702,-92126630.55459404,-34083792.22830409,11217.278265772731,633968192.1801709
106,2018-08-04 18:45:00,-41277552.748265505,-92214821.93334545,-34035488.81882934,18080.150130321395,605801732.5942851
107,2018-08-04 21:30:00,376642184.1614731,-92013358.38185059,-34184161.26177889,27238.681031415766,1029067611.3903039
108,2018-08-04 21:45:00,371472460.9964366,-92343171.33000045,-34013982.23430427,34462.72569093068,1024637424.2743367
109,2018-08-04 22:00:00,380296491.8457986,-99323754.86775906,-30424903.71208786,27152.89548959706,1032936543.1248063
110,2018-08-04 22:15:00,357618643.6489927,-98751451.17643954,-30716787.243526563,27610.264353877126,1009516833.719424
111,2018-08-04 22:30:00,328275184.3724004,-97365712.99480787,-31426292.238763887,27093.56780970746,979547731.98191
112,2018-08-04 22:45:00,291824422.0471747,-92491369.43799952,-33929179.30129084,28278.572848847387,943183906.8564352
113,2018-08-04 23:00:00,251061666.74650317,-96541971.5324253,-31841607.929459985,23876.34104100444,900829188.0464427
114,2018-08-04 23:15:00,200645477.71728444,-91727585.00477766,-34312156.676406436,17414.525118829482,849852859.852041
115,2018-08-04 23:30:00,114579980.30613941,-103079802.5979642,-28464565.321209542,10830.906326722363,762703026.1079651
116,2018-08-04 23:45:00,33819891.7880959,-92591082.40915722,-33850082.7157308,12306.142500036898,681157371.8246807
117,2018-08-05 00:00:00,-230944345.50305685,-98754423.10118543,-30651779.31505279,70456.79211084818,494407916.64120996
118,2018-08-05 00:30:00,-12397951.315454306,-94482099.16709375,-32872518.677662447,165744.0711912081,803673419.4493607
119,2018-08-05 01:00:00,-333292202.0947103,-101117304.36497286,-29425564.223270126,-466.1075063601134,309068843.95421433
