,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,InBandwidth
142,2018-08-05 07:15:00,-389639705.8869561,-98154439.71450216,-30994145.851129517,-5779.589997159205,5904.901569317809,-305.49514334567465,244975177.80030385
143,2018-08-05 07:30:00,-361219152.8291115,-97988026.40127237,-31082795.174968664,-6516.085270929909,6267.889959154423,-379.1462011673277,271534636.335483
144,2018-08-05 07:45:00,-334835990.51910394,-97937363.83168313,-31111695.398968626,-7045.012809489198,5642.931880686323,-491.93628938471085,295376242.5023397
145,2018-08-05 08:00:00,-397896601.88696516,-102903781.07379666,-28550706.308084775,48361.67573954782,5528.211517702813,-1527.8724357263789,307257311.8720552
146,2018-08-05 08:15:00,-381350802.4311671,-97494909.36837547,-31334207.76647788,54790.598653760106,4031.64609441779,-1848.204305167376,327937205.3054108
147,2018-08-05 08:30:00,-220053890.17430067,-96936950.85750417,-31638573.910136644,-8737.483181549644,7264.687754771775,-586.373785720454,406498266.7090832
148,2018-08-05 08:45:00,-178141579.8278509,-96958258.04993017,-31632135.719813854,-9922.60722392307,7166.034311356502,-538.2221295179202,444055786.1683582
149,2018-08-05 09:00:00,-122348174.86170655,-101517772.51565455,-29293248.490493663,-14240.718089376558,8647.320053468251,-210.0078328781446,497679514.0256789
150,2018-08-05 09:15:00,-58695587.33817851,-96278240.47418582,-31994740.900475185,-9735.059811577288,8668.764778685421,-50.29413275644459,559299737.1161737
151,2018-08-05 09:30:00,-9069524.655582575,-96280322.53076278,-31999022.22500067,-12738.157724948369,6659.8461560333,158.39801233478772,601121924.1021755
152,2018-08-05 09:45:00,74320067.03291532,-95644891.34172337,-32334810.827123333,-17069.861952692587,10211.594387586885,596.2156638624859,681141833.3055812
153,2018-08-05 11:30:00,381657617.7394064,-101126903.7551647,-29548625.043530192,-41091.19913524981,16307.267072749004,2490.3521965032023,965974278.6698852
154,2018-08-05 11:45:00,420936767.24825877,-101366058.1641673,-29429866.67151646,-42203.10076613903,16883.370447877634,2859.8905979799692,1003129356.7228572
155,2018-08-05 12:00:00,431877580.43851924,-105589635.17676577,-27258912.371052165,-49174.70421604068,16273.006177825828,3001.4009757886615,1007699614.6249207
156,2018-08-05 12:15:00,448203091.827685,-107697008.40056948,-26176874.729745924,-47746.02601441793,14947.364163070053,3129.4147939973495,1023224429.1521002
157,2018-08-05 12:30:00,459645599.82550484,-100414384.30442579,-29923476.773765028,-46093.832770823356,16865.845379944432,3127.739359323754,1036282675.5186447
158,2018-08-05 12:45:00,480992465.74779373,-100210263.90035187,-30030756.049948018,-48216.298201609025,16270.424225447747,3320.248976954379,1053715464.402282
159,2018-08-05 13:00:00,499537624.36616147,-104731815.38042057,-27707377.616532627,-55756.61602360595,21685.55203225075,3743.921125819321,1074110169.731496
160,2018-08-05 13:45:00,511162780.14920413,-92367858.86303718,-34067243.31220191,19798.043784909958,10304.6467840522,3538.3715623038183,1165617073.5880814
161,2018-08-05 14:00:00,491899142.23915404,-97144606.39888722,-31608564.82101486,-50041.81841041144,18761.289005320734,3265.8155144223706,1065717098.7348127
162,2018-08-05 14:15:00,493941024.57835543,-92169298.62541924,-34167525.873175934,-45092.27645046084,16441.771109346617,3131.6321253094347,1063699355.9693087
163,2018-08-05 14:30:00,512461775.81966734,-91962161.66240019,-34276049.91267147,-41455.315507060666,16752.744764123978,3326.0556924079156,1084266632.1191657
164,2018-08-05 14:45:00,522168712.86842066,-91631102.20633492,-34447358.68476925,-47494.14080492154,16820.742783983387,3352.7172813393245,1089469149.7309608
165,2018-08-05 15:00:00,531276076.0070964,-96670394.67847468,-31853513.62300703,-54811.75727992232,20360.30538374582,3424.2915305793267,1100763619.4171689
166,2018-08-05 15:45:00,184185904.71309936,-91527735.17547616,-34464015.53112868,122413.81990120048,3814.92914452372,-114.15084806528901,967506119.867457
167,2018-08-05 16:00:00,463284875.1181665,-101159901.34132603,-29540459.995880343,-50513.981474861685,17143.65640630623,2835.0498232351783,1035408622.2760402
168,2018-08-05 16:15:00,430809500.92797315,-89056760.43363868,-35761457.283350356,-36261.89537063831,15077.998758775979,2318.9551097174963,1010542345.9152926
169,2018-08-05 16:30:00,342921624.1032975,-96484633.98798963,-31931909.56667141,-31125.63082590702,12386.309901180373,1610.8833238055736,930110310.1220797
170,2018-08-05 16:45:00,294896967.97346395,-88842131.6235318,-35857176.75360115,-19878.597579640867,9522.881929952582,977.9543460376101,886810775.8271338
