,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,InBandwidth
149,2018-08-05 09:00:00,-122348174.86170644,-101517772.51565434,-29293248.49049369,-14240.718089376544,8647.320053468084,497679514.0256789
150,2018-08-05 09:15:00,-58695587.33817844,-96278240.47418565,-31994740.900475226,-9735.059811577314,8668.764778685618,559299737.1161737
151,2018-08-05 09:30:00,-9069524.655582437,-96280322.53076257,-31999022.225000687,-12738.157724948203,6659.846156031303,601121924.1021755
152,2018-08-05 09:45:00,74320067.0329152,-95644891.34172322,-32334810.82712337,-17069.861952692692,10211.594387589235,681141833.3055812
153,2018-08-05 11:30:00,381657617.7394065,-101126903.75516456,-29548625.04353023,-41091.19913524967,16307.267072749524,965974278.6698852
154,2018-08-05 11:45:00,420936767.2482588,-101366058.16416718,-29429866.671516508,-42203.10076613917,16883.370447879377,1003129356.7228572
155,2018-08-05 12:00:00,431877580.43851924,-105589635.17676562,-27258912.371052194,-49174.70421604061,16273.0061778256,1007699614.6249207
156,2018-08-05 12:15:00,448203091.827685,-107697008.40056928,-26176874.72974595,-47746.02601441782,14947.3641630696,1023224429.1521002
157,2018-08-05 12:30:00,459645599.82550484,-100414384.30442566,-29923476.773765065,-46093.83277082318,16865.84537994311,1036282675.5186447
158,2018-08-05 12:45:00,480992465.74779373,-100210263.90035176,-30030756.04994805,-48216.298201609236,16270.424225449067,1053715464.402282
159,2018-08-05 13:00:00,499537624.36616147,-104731815.38042042,-27707377.616532672,-55756.61602360597,21685.55203225143,1074110169.731496
160,2018-08-05 13:45:00,511162780.1492042,-92367858.86303711,-34067243.31220196,19798.043784909758,10304.646784054625,1165617073.5880814
161,2018-08-05 14:00:00,491899142.23915416,-97144606.39888707,-31608564.82101489,-50041.81841041164,18761.289005321913,1065717098.7348127
162,2018-08-05 14:15:00,493941024.57835543,-92169298.62541912,-34167525.87317598,-45092.276450460966,16441.771109347424,1063699355.9693087
163,2018-08-05 14:30:00,512461775.81966734,-91962161.66240011,-34276049.91267153,-41455.31550706077,16752.74476412575,1084266632.1191657
164,2018-08-05 14:45:00,522168712.86842066,-91631102.20633481,-34447358.684769295,-47494.140804921546,16820.74278398435,1089469149.7309608
165,2018-08-05 15:00:00,531276076.0070964,-96670394.67847459,-31853513.62300707,-54811.757279922174,20360.305383746632,1100763619.4171689
166,2018-08-05 15:45:00,184185904.71309954,-91527735.17547597,-34464015.53112872,122413.81990120054,3814.929144521517,967506119.867457
167,2018-08-05 16:00:00,463284875.11816657,-101159901.34132588,-29540459.995880388,-50513.981474861685,17143.656406306367,1035408622.2760402
168,2018-08-05 16:15:00,430809500.9279733,-89056760.43363856,-35761457.2833504,-36261.89537063828,15077.99875877579,1010542345.9152926
169,2018-08-05 16:30:00,342921624.1032974,-96484633.98798949,-31931909.56667145,-31125.63082590701,12386.309901181132,930110310.1220797
170,2018-08-05 16:45:00,294896967.9734641,-88842131.62353168,-35857176.75360121,-19878.597579640948,9522.881929953528,886810775.8271338
