,CreationTime,principal component 1,principal component 2,principal component 3,InBandwidth
223,2018-08-06 12:45:00,221656071.23448068,-108350317.67525154,-25873692.2100345,803578205.8756348
224,2018-08-06 13:00:00,228103846.55211893,-106447777.70343329,-26852841.915806096,808436229.0562083
225,2018-08-06 13:15:00,211425294.30971482,-86895211.14861155,-36906696.78136791,793727595.6666057
226,2018-08-06 13:30:00,204790987.74605703,-93813708.89767931,-33347882.289976213,785657953.6803893
227,2018-08-06 13:45:00,206537619.73093462,-95434236.04968722,-32514651.350299284,789880161.9889416
228,2018-08-06 15:15:00,352767749.9046429,-98133415.47822724,-31142265.59091588,925223079.0889244
229,2018-08-06 15:30:00,388473282.08978724,-129042901.78810523,-15249731.6751126,957955674.8958392
230,2018-08-06 15:45:00,383333176.81436837,-114663205.54654367,-22644483.194235567,955894405.8031082
231,2018-08-06 16:00:00,354008605.33609736,-119882580.60350312,-19957058.225670937,930698134.0267627
232,2018-08-06 16:15:00,323415054.48480767,-98271969.25446022,-31067842.219167847,899255129.4645295
233,2018-08-06 16:30:00,327819252.6972012,-105535233.06301819,-27332886.25500121,981785721.5068717
234,2018-08-06 16:45:00,305168034.38884395,-105345187.87676786,-27428181.118580204,958540613.3263812
235,2018-08-06 17:00:00,291399462.6322001,-110752167.94554253,-24645952.990101762,945510051.8248855
236,2018-08-06 17:15:00,252924921.72407976,-91082881.28424878,-34757488.489240035,904978553.207942
237,2018-08-06 17:30:00,243128440.20865294,-90594174.90759708,-35007771.616851866,894956743.8237901
238,2018-08-06 17:45:00,245322692.39187396,-90669194.81368816,-34969427.70809557,897679400.0829989
239,2018-08-06 19:30:00,199601887.28107747,-90461186.08831735,-35071474.42811768,849839853.4155847
240,2018-08-06 19:45:00,345174191.8455679,-89821698.03119637,-35416050.86234752,998545936.9001539
241,2018-08-06 21:30:00,15006948.566469086,-90552668.62908754,-34994948.65308875,784516008.9369987
242,2018-08-06 21:45:00,285922902.379302,-89682611.71481578,-35481214.86967622,865455556.8934131
243,2018-08-06 22:00:00,272577510.2025502,-95058355.12433411,-32715094.432109684,853638231.0583675
244,2018-08-06 22:15:00,294236104.3962852,-89606555.59535982,-35521227.471086845,873020553.5108086
245,2018-08-06 22:30:00,299260046.0545789,-89689613.76230966,-35479056.55497904,874030948.3968867
246,2018-08-06 22:45:00,290286806.586576,-96694432.5730541,-31875591.93597701,864877847.9160331
247,2018-08-06 23:00:00,238879924.82860282,-94754981.49501388,-32867486.089782227,813515962.1303687
248,2018-08-06 23:15:00,-73347484.56568682,-90892375.91336392,-34813909.57483518,653019326.5996282
249,2018-08-06 23:30:00,-118638437.13231787,-90972623.46103197,-34774121.94138388,588958439.6274937
250,2018-08-06 23:45:00,-14974115.182521816,-90819886.21376301,-34863882.70586582,580166973.100114
251,2018-08-07 00:30:00,-265496938.24874008,-92581187.70451564,-33931025.71364462,420451463.6272903
252,2018-08-07 00:45:00,-180145402.970871,-93022430.30733427,-33713326.12739503,424661527.5980916
253,2018-08-07 01:00:00,-249896070.14306274,-98679608.29683648,-30796384.294223346,358440535.0092935
254,2018-08-07 01:15:00,-300474235.6873835,-94021576.75265394,-33186498.84840756,313387036.80249816
255,2018-08-07 01:30:00,-346377332.9241458,-94744681.56178968,-32809664.046642542,269407243.7269347
256,2018-08-07 01:45:00,-385409446.7086233,-95043184.65345258,-32651937.45417666,235252985.47738785
257,2018-08-07 02:00:00,-420300305.536718,-100216065.81733437,-29987822.837451413,201848539.50952828
258,2018-08-07 02:15:00,-438404843.32893515,-100085116.67939101,-30053216.52349468,184295680.60557565
259,2018-08-07 02:30:00,-458771592.22389233,-95246146.69677648,-32539644.645726573,166538091.21967116
260,2018-08-07 02:45:00,-480904458.3122804,-95336523.13334902,-32490776.791040286,147168771.07716367
261,2018-08-07 03:00:00,-493789044.63634,-105309074.00001085,-27360622.57054934,136505775.29323602
