,CreationTime,principal component 1,InBandwidth
3427,2018-09-23 09:30:00,-36400944.27746522,562361429.7198844
3428,2018-09-23 09:45:00,-5330808.200558094,587800059.4798199
3429,2018-09-23 10:00:00,38251010.99410429,625687903.8419201
3430,2018-09-23 10:15:00,75870836.19699524,661626632.5890357
3431,2018-09-23 10:30:00,119001259.2573275,704309697.4213041
3432,2018-09-23 10:45:00,152242874.847514,732141913.131347
3433,2018-09-23 11:00:00,-86781763.15516686,654289010.9963263
3434,2018-09-23 13:15:00,300326462.4365271,868174103.6607207
3435,2018-09-23 13:30:00,289878553.16809124,863282489.5802622
3436,2018-09-23 13:45:00,281951948.18034816,852789793.7626457
3437,2018-09-23 14:00:00,-2941475.001376098,743067016.4320092
3438,2018-09-23 14:15:00,4107568.262847651,757981249.364948
3439,2018-09-23 14:30:00,317666019.84977275,963202639.2689029
3440,2018-09-23 14:45:00,342936879.4754904,988795828.705906
3441,2018-09-23 15:15:00,395774619.36172736,1040200245.2060137
3442,2018-09-23 15:30:00,404851315.50473535,1050758971.8062141
3443,2018-09-23 15:45:00,377262459.01646304,1024353248.1774539
3444,2018-09-23 16:00:00,311112118.14019036,957635788.8080127
3445,2018-09-23 16:15:00,273736489.29533184,921465531.7706301
3446,2018-09-23 16:30:00,239285027.3978849,884438794.5381418
3447,2018-09-23 16:45:00,192223542.55957437,836220968.6931102
3448,2018-09-23 17:00:00,169216294.64393982,813780078.1684508
3449,2018-09-23 17:15:00,134277351.86774993,777606437.8131679
3450,2018-09-23 17:30:00,104146029.60738173,746845766.1916678
3451,2018-09-23 17:45:00,104202458.74641581,746672392.8692418
3452,2018-09-23 18:00:00,93639946.39830299,736296504.7017372
3453,2018-09-23 18:15:00,72010545.09978238,714271792.8231844
3454,2018-09-23 18:30:00,41088518.05561754,683482365.12852
3455,2018-09-23 18:45:00,-37759515.492797054,604349858.9825151
3456,2018-09-23 19:00:00,-177627597.24864465,588104414.2485597
3457,2018-09-23 19:15:00,-109863819.6765342,670530025.8287741
3458,2018-09-23 19:30:00,206676049.62321314,849909397.4059539
3459,2018-09-23 19:45:00,264345894.3749977,907865168.2785555
3460,2018-09-23 20:00:00,283462472.3649851,928451851.0810009
3461,2018-09-23 20:15:00,19258634.17539513,837516074.9644866
3462,2018-09-23 20:30:00,34071741.52812607,862532535.775875
3463,2018-09-23 20:45:00,52488417.94914157,881837188.4738686
3464,2018-09-23 21:00:00,69258943.6142727,907121918.910391
3465,2018-09-23 21:15:00,375150626.4829118,1019676742.939525
3466,2018-09-23 21:30:00,377183669.24339247,1021589263.648157
3467,2018-09-23 21:45:00,373148685.6920802,1017707609.1502056
3468,2018-09-23 22:00:00,81866094.8888566,911921086.4349158
3469,2018-09-23 22:15:00,69361226.13952306,893230168.9855088
3470,2018-09-23 22:30:00,324710998.2994116,968192082.7759905
3471,2018-09-23 22:45:00,275150173.91719383,918234377.2321832
3472,2018-09-23 23:00:00,231895155.6340681,874503310.5786289
3473,2018-09-23 23:15:00,163923623.5881303,807287625.8495196
3474,2018-09-23 23:30:00,68040568.61108138,709756526.5098419
3475,2018-09-23 23:45:00,-23499764.99516728,618019313.4413309
3476,2018-09-24 00:00:00,-101582604.67637227,539435991.5212678
3477,2018-09-24 00:15:00,-176527794.20941,427897328.9778393
3478,2018-09-24 00:30:00,-250991628.59588566,356926236.46018326
3479,2018-09-24 00:45:00,-294375498.2530647,317229917.6280982
3480,2018-09-24 01:00:00,-343912299.3922031,269519822.65842056
3481,2018-09-24 01:15:00,-393526376.0302451,224731819.21302465
3482,2018-09-24 01:30:00,-426831505.7851857,195975457.17487705
3483,2018-09-24 01:45:00,-499401911.62743497,150799186.63931853
3484,2018-09-24 02:00:00,-518309375.9624806,130527485.94924204
3485,2018-09-24 02:15:00,-537595368.5160865,107354166.46448028
3486,2018-09-24 02:30:00,-519759519.2234294,110381123.42272681
3487,2018-09-24 02:45:00,-528855207.56970936,102179253.33833782
3488,2018-09-24 03:00:00,-547317301.371249,86111901.56752862
3489,2018-09-24 03:15:00,-555221865.4417087,79262593.88416457
3490,2018-09-24 03:30:00,-559705654.4533525,75149472.7786857
3491,2018-09-24 03:45:00,-564527884.0473727,70827412.12116429
3492,2018-09-24 04:00:00,-569790271.4665556,67095460.00219656
3493,2018-09-24 04:15:00,-572448710.5007539,64086806.05320355
3494,2018-09-24 04:30:00,-590711246.5569363,49168852.64003037
3495,2018-09-24 04:45:00,-591937893.3897793,47408242.35964938
3496,2018-09-24 05:00:00,-572587010.1744136,64002581.65492677
3497,2018-09-24 05:15:00,-557741202.501251,78126879.43984617
3498,2018-09-24 05:30:00,-551131597.5645185,85571376.70289959
3499,2018-09-24 05:45:00,-540399403.5469126,95494907.61862975
3500,2018-09-24 06:00:00,-549409776.521525,96229418.66588722
3501,2018-09-24 06:15:00,-535939030.6299448,114764162.34414598
3502,2018-09-24 06:30:00,-472237813.48561776,157263696.25336468
3503,2018-09-24 06:45:00,-443268896.9776642,183797126.36205328
3504,2018-09-24 07:00:00,-408681466.69732153,215025468.35118783
3505,2018-09-24 07:15:00,-378779330.1072807,243984494.89927432
3506,2018-09-24 07:30:00,-352903293.81970274,268107682.01909903
3507,2018-09-24 07:45:00,-350289948.5580577,270795810.7160102
3508,2018-09-24 08:00:00,-324835583.9179324,293596375.78318113
3509,2018-09-24 08:15:00,-304860272.5130649,309905159.9088618
3510,2018-09-24 08:30:00,-283587858.3666462,329529581.0169913
3511,2018-09-24 08:45:00,-263584214.59632382,348974231.7090333
3512,2018-09-24 09:00:00,-222547780.63921916,387559234.552747
3513,2018-09-24 09:15:00,-176840509.6940542,430574342.703948
3514,2018-09-24 09:30:00,-126689120.14145812,477290807.5911167
3515,2018-09-24 09:45:00,-70964532.19903116,530391868.01481694
3516,2018-09-24 10:00:00,-18586461.56484318,579722489.3363291
3517,2018-09-24 10:15:00,-166749641.50469714,540061001.1668844
3518,2018-09-24 10:30:00,-132949130.55166912,570072344.1147683
3519,2018-09-24 10:45:00,65322452.98642966,658055464.6889818
3520,2018-09-24 11:00:00,73490358.16145912,664380307.2334143
3521,2018-09-24 11:15:00,87342450.66338374,675686661.7696263
3522,2018-09-24 11:30:00,99436362.53022516,685187591.6905826
3523,2018-09-24 11:45:00,103743133.47684422,688236448.9250535
3524,2018-09-24 12:00:00,-99353447.92160203,612785107.3260996
3525,2018-09-24 12:15:00,-96713620.99489936,613308492.460679
3526,2018-09-24 12:30:00,122281037.69565554,706241849.8333
3527,2018-09-24 12:45:00,128613093.1158464,714925153.2445352
3528,2018-09-24 13:00:00,136836400.3849786,722372128.8452513
3529,2018-09-24 13:15:00,136057724.9083021,721939569.7818978
3530,2018-09-24 13:30:00,144477771.0572871,729004224.261617
3531,2018-09-24 13:45:00,163002371.76863793,744046221.8371804
3532,2018-09-24 14:45:00,253241521.288029,832870734.3704579
3533,2018-09-24 15:00:00,300415452.67685455,876858302.3336072
3534,2018-09-24 15:15:00,294290330.22487414,861895515.2393937
3535,2018-09-24 15:30:00,308709370.3947335,877792449.1232678
3536,2018-09-24 15:45:00,298550180.66564953,867937924.2391219
3537,2018-09-24 16:00:00,287926731.6613087,863196984.410237
3538,2018-09-24 16:15:00,300716199.78954417,871444876.2753128
3539,2018-09-24 16:30:00,314004373.5474592,887883387.1784604
3540,2018-09-24 16:45:00,310525396.8852299,880247140.2889148
3541,2018-09-24 17:00:00,300771201.94078296,866707947.0875068
3542,2018-09-24 17:15:00,276671134.2092601,847051593.9908648
3543,2018-09-24 17:30:00,265752812.0990167,839433013.9900013
3544,2018-09-24 17:45:00,251482878.42909342,822073355.9047393
3545,2018-09-24 18:00:00,250681256.31132022,819291871.2931182
3546,2018-09-24 18:15:00,226998017.37326393,795517910.4938164
3547,2018-09-24 18:30:00,163014457.61337465,742951475.1553482
3548,2018-09-24 18:45:00,84889740.39296414,672914904.8816396
3549,2018-09-24 19:00:00,136593531.62232363,716979735.4199243
3550,2018-09-24 19:15:00,178906757.65004352,758000928.8724173
3551,2018-09-24 21:15:00,411732486.1531101,967955166.9492613
3552,2018-09-24 21:30:00,430475729.7761291,987632027.74436
3553,2018-09-24 21:45:00,440353500.9243227,996709741.4842019
3554,2018-09-24 22:00:00,470033310.18856746,1025029740.2242656
3555,2018-09-24 22:15:00,464238858.883833,1017808458.4621099
3556,2018-09-24 22:30:00,432383080.1183953,989464107.6946744
3557,2018-09-24 22:45:00,378377147.6163271,940605386.4312961
3558,2018-09-24 23:00:00,298643526.3519753,869182828.8298737
3559,2018-09-24 23:15:00,195872680.4638682,772772427.8870517
3560,2018-09-24 23:30:00,94478972.16977735,677582655.6457473
3561,2018-09-24 23:45:00,-4076354.577743445,585694514.0023081
3562,2018-09-25 00:00:00,-93443221.39804518,505961132.6587629
3563,2018-09-25 00:15:00,-296382294.82393026,381753866.67503
3564,2018-09-25 00:30:00,-352893941.0992385,318913039.5302285
3565,2018-09-25 00:45:00,-300870493.35789573,311530484.7552688
3566,2018-09-25 01:00:00,-353699573.2510273,263859390.58946303
3567,2018-09-25 01:15:00,-392130034.2096157,229699802.90864107
3568,2018-09-25 01:30:00,-425032127.44606596,198936397.49210235
3569,2018-09-25 01:45:00,-452864688.1060854,172887509.00354898
3570,2018-09-25 02:00:00,-518331936.7684717,125501269.43271628
3571,2018-09-25 02:15:00,-539967419.1857759,104814233.89531349
3572,2018-09-25 02:30:00,-525547062.4288166,104153497.53722146
