,CreationTime,principal component 1,principal component 2,InBandwidth
163,2018-08-05 14:30:00,512461775.81966645,-91962161.66240014,1084266632.1191657
164,2018-08-05 14:45:00,522168712.8684198,-91631102.20633489,1089469149.7309608
165,2018-08-05 15:00:00,531276076.0070954,-96670394.6784747,1100763619.4171689
166,2018-08-05 15:45:00,184185904.7130994,-91527735.17547607,967506119.867457
167,2018-08-05 16:00:00,463284875.1181658,-101159901.34132597,1035408622.2760402
168,2018-08-05 16:15:00,430809500.9279725,-89056760.43363863,1010542345.9152926
169,2018-08-05 16:30:00,342921624.10329694,-96484633.98798956,930110310.1220797
170,2018-08-05 16:45:00,294896967.9734635,-88842131.62353176,886810775.8271338
171,2018-08-05 17:00:00,211252113.21180195,-92743049.54221609,808218929.1582407
172,2018-08-05 18:15:00,-292247454.37288946,-88680584.53506047,336627916.8060958
173,2018-08-05 18:30:00,-318915198.1135527,-88701772.09028612,309744156.78566235
174,2018-08-05 18:45:00,-327949598.0812818,-88241352.47802304,301016911.20595044
175,2018-08-05 19:00:00,-313347755.6873278,-93064507.20331335,315944281.63875294
176,2018-08-05 20:30:00,5510113.145626535,-87383911.1675294,651915188.0454321
177,2018-08-05 20:45:00,-50671483.205961935,-87141602.23982826,595019860.7524962
178,2018-08-05 21:00:00,-42013516.18771688,-92326681.6156137,604035769.4652275
179,2018-08-05 22:15:00,171037590.08851323,-85864638.25469482,819509160.8643341
180,2018-08-05 22:30:00,176662013.05239537,-85870743.58475211,825823138.4684727
181,2018-08-05 22:45:00,151565993.77732715,-85737096.40258846,800011499.0559093
182,2018-08-05 23:00:00,-46992051.95187394,-91207210.00583087,599571840.7283367
183,2018-08-05 23:45:00,-109288314.97122324,-85853975.40715596,535569896.09903616
184,2018-08-06 00:00:00,-89774334.55583464,-90845980.2470093,510940683.7579179
185,2018-08-06 00:15:00,-162180035.58957988,-86599520.05123562,445370744.2304751
186,2018-08-06 00:30:00,-286973150.3526477,-87282806.17508966,329511061.26059234
187,2018-08-06 00:45:00,-348983128.1857203,-87683848.97693613,271826856.0050116
188,2018-08-06 01:00:00,-396450413.0668287,-93235184.4861681,227513075.2757304
189,2018-08-06 01:15:00,-445615526.18917227,-88603813.3316076,181142099.8979781
190,2018-08-06 01:30:00,-484419034.22882336,-88630094.91818528,144937278.93743765
191,2018-08-06 01:45:00,-507095120.29234976,-88978384.20320591,123272767.19244829
192,2018-08-06 03:15:00,-576507384.6546136,-89805355.70274325,58752441.4232542
193,2018-08-06 03:30:00,-583963190.2706964,-89974855.52642472,52074354.27541344
194,2018-08-06 03:45:00,-582854276.9283419,-90158223.53770757,53681575.77668536
195,2018-08-06 04:00:00,-581908704.5747175,-95151239.18881615,53670764.65356524
196,2018-08-06 04:15:00,-582054094.9804987,-90311530.24597494,53759365.69499695
197,2018-08-06 04:30:00,-564360816.3859334,-90267433.20110936,69679864.92706501
198,2018-08-06 04:45:00,-535858507.96194077,-90130999.8080391,96994978.6017473
199,2018-08-06 05:00:00,-537860916.310583,-95131363.18357557,95122123.5682927
200,2018-08-06 05:15:00,-533281473.511547,-90114516.09222214,99271948.53245254
201,2018-08-06 05:30:00,-525799152.6912391,-89773910.13545887,104907503.88309838
202,2018-08-06 05:45:00,-513131541.8019062,-89681971.67640674,116938243.72269176
203,2018-08-06 06:45:00,-500375931.8098363,-88900623.6091559,131538570.87872083
204,2018-08-06 07:15:00,-476487077.19909054,-88644892.56678754,152407807.59486127
205,2018-08-06 07:30:00,-471222625.4403986,-88360120.67692451,157350189.63991398
206,2018-08-06 07:45:00,-456506930.8591211,-88258046.95624483,168899625.63211212
207,2018-08-06 08:00:00,-430971746.092502,-92797393.313089,194634961.0539269
208,2018-08-06 08:15:00,-403709873.98729545,-87648556.36037096,219671234.34114268
209,2018-08-06 08:30:00,-375474008.65115803,-87537939.50971247,245735488.8393736
210,2018-08-06 08:45:00,-357110216.96613735,-87265796.24649043,263523460.2360537
211,2018-08-06 09:00:00,-316737486.3149533,-91541786.44926386,302005783.2417074
212,2018-08-06 09:15:00,-260265151.2525469,-86154139.58012106,354024080.4887107
213,2018-08-06 09:30:00,-209649492.702924,-85711064.49956378,399309503.6519384
214,2018-08-06 09:45:00,-146083024.05841717,-85014366.29740134,459744375.0935
215,2018-08-06 10:45:00,94679708.13538496,-85878222.70839727,687266133.6471974
216,2018-08-06 11:00:00,112002579.3016441,-114559698.55457264,701801961.3481537
217,2018-08-06 11:15:00,139433505.36635828,-100933900.35133526,725772640.189312
218,2018-08-06 11:30:00,152292888.4181076,-100642706.201339,742016332.1513441
219,2018-08-06 11:45:00,182012881.1117935,-95983326.64981022,768552549.8000576
220,2018-08-06 12:00:00,215520763.95924646,-105915713.27300595,796912356.7907588
221,2018-08-06 12:15:00,219286039.47235113,-86377597.07248773,799726603.980563
222,2018-08-06 12:30:00,236132860.27242312,-93619893.24325924,812746051.2429006
223,2018-08-06 12:45:00,221656071.23448017,-108350317.67525174,803578205.8756348
224,2018-08-06 13:00:00,228103846.55211848,-106447777.70343342,808436229.0562083
225,2018-08-06 13:15:00,211425294.30971396,-86895211.14861168,793727595.6666057
226,2018-08-06 13:30:00,204790987.74605632,-93813708.89767946,785657953.6803893
227,2018-08-06 13:45:00,206537619.730934,-95434236.04968737,789880161.9889416
228,2018-08-06 15:15:00,352767749.90464175,-98133415.47822738,925223079.0889244
229,2018-08-06 15:30:00,388473282.0897866,-129042901.78810543,957955674.8958392
230,2018-08-06 15:45:00,383333176.81436783,-114663205.54654387,955894405.8031082
231,2018-08-06 16:00:00,354008605.33609676,-119882580.60350329,930698134.0267627
232,2018-08-06 16:15:00,323415054.48480743,-98271969.25446041,899255129.4645295
233,2018-08-06 16:30:00,327819252.6972004,-105535233.06301835,981785721.5068717
234,2018-08-06 16:45:00,305168034.38884336,-105345187.87676801,958540613.3263812
235,2018-08-06 17:00:00,291399462.6321995,-110752167.9455427,945510051.8248855
236,2018-08-06 17:15:00,252924921.7240793,-91082881.28424893,904978553.207942
237,2018-08-06 17:30:00,243128440.20865273,-90594174.90759721,894956743.8237901
238,2018-08-06 17:45:00,245322692.39187357,-90669194.81368826,897679400.0829989
239,2018-08-06 19:30:00,199601887.2810771,-90461186.08831744,849839853.4155847
240,2018-08-06 19:45:00,345174191.8455668,-89821698.03119648,998545936.9001539
241,2018-08-06 21:30:00,15006948.566468846,-90552668.62908769,784516008.9369987
242,2018-08-06 21:45:00,285922902.379301,-89682611.71481591,865455556.8934131
243,2018-08-06 22:00:00,272577510.20254976,-95058355.12433422,853638231.0583675
244,2018-08-06 22:15:00,294236104.3962846,-89606555.59535995,873020553.5108086
245,2018-08-06 22:30:00,299260046.0545778,-89689613.76230976,874030948.3968867
246,2018-08-06 22:45:00,290286806.58657575,-96694432.57305425,864877847.9160331
247,2018-08-06 23:00:00,238879924.82860243,-94754981.495014,813515962.1303687
248,2018-08-06 23:15:00,-73347484.56568646,-90892375.91336402,653019326.5996282
249,2018-08-06 23:30:00,-118638437.13231757,-90972623.46103214,588958439.6274937
250,2018-08-06 23:45:00,-14974115.182521673,-90819886.21376312,580166973.100114
251,2018-08-07 00:30:00,-265496938.24873957,-92581187.7045158,420451463.6272903
252,2018-08-07 00:45:00,-180145402.97087082,-93022430.30733444,424661527.5980916
253,2018-08-07 01:00:00,-249896070.14306256,-98679608.29683661,358440535.0092935
