,CreationTime,principal component 1,principal component 2,principal component 3,principal component 4,InBandwidth
146,2018-08-05 08:15:00,-381350802.43116677,-97494909.36837542,-31334207.766477924,54790.59865376008,327937205.3054108
147,2018-08-05 08:30:00,-220053890.17430088,-96936950.85750416,-31638573.9101367,-8737.483181549685,406498266.7090832
148,2018-08-05 08:45:00,-178141579.82785058,-96958258.04993013,-31632135.719813894,-9922.60722392303,444055786.1683582
149,2018-08-05 09:00:00,-122348174.86170648,-101517772.5156545,-29293248.4904937,-14240.718089376542,497679514.0256789
150,2018-08-05 09:15:00,-58695587.33817845,-96278240.4741858,-31994740.900475226,-9735.059811577325,559299737.1161737
151,2018-08-05 09:30:00,-9069524.65558171,-96280322.53076278,-31999022.225000706,-12738.15772494833,601121924.1021755
152,2018-08-05 09:45:00,74320067.03291471,-95644891.34172334,-32334810.82712338,-17069.86195269262,681141833.3055812
153,2018-08-05 11:30:00,381657617.73940635,-101126903.7551647,-29548625.043530237,-41091.19913524961,965974278.6698852
154,2018-08-05 11:45:00,420936767.24825835,-101366058.1641673,-29429866.671516508,-42203.10076613917,1003129356.7228572
155,2018-08-05 12:00:00,431877580.4385195,-105589635.17676577,-27258912.371052213,-49174.704216040605,1007699614.6249207
156,2018-08-05 12:15:00,448203091.82768536,-107697008.40056944,-26176874.72974596,-47746.02601441785,1023224429.1521002
157,2018-08-05 12:30:00,459645599.8255055,-100414384.30442582,-29923476.773765083,-46093.83277082329,1036282675.5186447
158,2018-08-05 12:45:00,480992465.7477936,-100210263.90035188,-30030756.04994806,-48216.29820160911,1053715464.402282
159,2018-08-05 13:00:00,499537624.36616164,-104731815.38042057,-27707377.616532676,-55756.616023605886,1074110169.731496
160,2018-08-05 13:45:00,511162780.1492037,-92367858.8630372,-34067243.31220196,19798.043784909783,1165617073.5880814
161,2018-08-05 14:00:00,491899142.23915386,-97144606.3988872,-31608564.821014903,-50041.81841041155,1065717098.7348127
162,2018-08-05 14:15:00,493941024.57835555,-92169298.62541924,-34167525.87317599,-45092.276450460915,1063699355.9693087
163,2018-08-05 14:30:00,512461775.81966704,-91962161.66240016,-34276049.91267152,-41455.31550706065,1084266632.1191657
164,2018-08-05 14:45:00,522168712.86842054,-91631102.20633492,-34447358.6847693,-47494.14080492155,1089469149.7309608
165,2018-08-05 15:00:00,531276076.00709623,-96670394.67847471,-31853513.623007074,-54811.75727992224,1100763619.4171689
166,2018-08-05 15:45:00,184185904.71310017,-91527735.17547616,-34464015.53112874,122413.81990120032,967506119.867457
167,2018-08-05 16:00:00,463284875.1181667,-101159901.34132598,-29540459.9958804,-50513.9814748618,1035408622.2760402
168,2018-08-05 16:15:00,430809500.9279733,-89056760.43363868,-35761457.28335041,-36261.89537063821,1010542345.9152926
169,2018-08-05 16:30:00,342921624.1032974,-96484633.98798959,-31931909.566671457,-31125.63082590705,930110310.1220797
170,2018-08-05 16:45:00,294896967.9734636,-88842131.62353177,-35857176.7536012,-19878.597579640944,886810775.8271338
171,2018-08-05 17:00:00,211252113.21180224,-92743049.54221614,-33841959.60761455,-17073.22929683294,808218929.1582407
